Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement pour Paris
Métro,CORENTIN CARIOU,3023221,7,,,,,Paris,19
Métro,LE PELETIER,2510950,7,,,,,Paris,9
Métro,ABBESSES,2450498,12,,,,,Paris,18
Métro,SIMPLON,2756818,4,,,,,Paris,18
RER,NANTERRE-PREFECTURE,24980181,A,,,,,Nanterre,
Métro,LES HALLES,17509498,4,,,,,Paris,1
RER,LE PARC DE SAINT-MAUR,2242987,A,,,,,Saint-Maur des Fossés,
Métro,SAINT-PAUL,6443129,1,,,,,Paris,4
Métro,CHATILLON-MONTROUGE,7574425,13,,,,,Chatillon,
Métro,MAIRIE DE MONTREUIL,8182788,9,,,,,Montreuil,
Métro,GEORGE V,6380669,1,,,,,Paris,8
Métro,GLACIERE,4863838,6,,,,,Paris,13
Métro,CROIX DE CHAVAUX,5210557,9,,,,,Montreuil,
Métro,LIBERTE,2631382,8,,,,,Charenton,
Métro,BROCHANT,3418061,13,,,,,Paris,17
Métro,GONCOURT,3420469,11,,,,,Paris,11
Métro,CENSIER-DAUBENTON,3514620,7,,,,,Paris,6
Métro,EGLISE DE PANTIN,4056872,5,,,,,Pantin,
Métro,BOLIVAR,575968,7bis,,,,,Paris,19
RER,SAINT-MICHEL-NOTRE-DAME,7247647,B,,,,,Paris,
RER,ANTONY,6365395,B,,,,,Antony,
Métro,GARE DE LYON,36864326,1,14,A,,,Paris,12
Métro,CHAUSSEE D'ANTIN-LA FAYETTE,7470237,7,9,,,,Paris,9
Métro,PORTE DE CLIGNANCOURT,8050206,4,,,,,Paris,18
Métro,PONT DE SEVRES,5332900,9,,,,,Boulogne Billancourt,
Métro,PORTE DE VANVES,4907106,13,,,,,Paris,14
Métro,PLAISANCE,5091432,13,,,,,Paris,14
Métro,BOURSE,3596746,3,,,,,Paris,2
Métro,PICPUS,1404477,6,,,,,Paris,12
Métro,CHATELET,12505675,1,4,7,11,14,Paris,1
Métro,BERAULT,3182589,1,,,,,Vincennes,
Métro,AVENUE EMILE ZOLA,1506963,10,,,,,Paris,15
Métro,PIERRE CURIE,1608512,7,,,,,Ivry,
RER,CHATELET-LES HALLES(RER),33424797,A,B,,,,Paris,1
RER,LAPLACE,3676446,B,,,,,Arcueil,
Métro,LE KREMLIN-BICETRE,4447608,7,,,,,Kremlin-Bicêtre,
Métro,MALESHERBES,2628908,3,,,,,Paris,17
Métro,OLYMPIADES,7306272,14,,,,,Paris,13
RER,GENTILLY,2332897,B,,,,,Gentilly,
Métro,NOTRE-DAME-DE-LORETTE,2943066,12,,,,,Paris,9
Métro,CLUNY LA SORBONNE,2493703,10,,,,,Paris,5
Métro,SAINT-MARCEL,2286932,5,,,,,Paris,13
Métro,LA FOURCHE,2814675,13,,,,,Paris,8
RER,MARNE-LA-VALLEE-CHESSY,6229130,A,,,,,Montévrain,
RER,LA CROIX DE BERNY,3288568,B,,,,,Antony,
RER,VAL D'EUROPE,5137706,A,,,,,Serris,
Métro,DUROC,3645141,10,13,,,,Paris,7
Métro,ALMA-MARCEAU,4561735,9,,,,,Paris,8
Métro,MAIRIE DES LILAS,4817603,11,,,,,Les Lilas,
Métro,STRASBOURG-SAINT-DENIS,9258372,4,8,9,,,Paris,2
Métro,BIR-HAKEIM,8772981,6,,,,,Paris,15
RER,LE GUICHET,924106,B,,,,,Orsay,
Métro,PONT DE LEVALLOIS-BECON,5374925,3,,,,,Levallois-Perret,
Métro,HAVRE-CAUMARTIN,7865303,3,9,,,,Paris,9
Métro,MIROMESNIL,6391877,9,13,,,,Paris,8
Métro,INVALIDES,6411555,8,13,,,,Paris,7
Métro,PLACE MONGE,3134478,7,,,,,Paris,6
Métro,RENNES,1288804,12,,,,,Paris,6
RER,SAINT-GERMAIN-EN-LAYE,4908355,A,,,,,Saint-Germain-en-Laye,
Métro,REPUBLIQUE,18327920,3,5,8,9,11,Paris,11
RER,PALAISEAU-VILLEBON,941474,B,,,,,Palaiseau,
RER,FONTAINE-MICHALON,754778,B,,,,,Antony,
Métro,PLACE CLICHY,8769157,2,13,,,,Paris,17
Métro,PORTE DE VERSAILLES,6388506,12,,,,,Paris,15
Métro,PASTEUR,5217986,6,12,,,,Paris,9
Métro,CHATEAU DE VINCENNES,5544176,1,,,,,Vincennes,
Métro,PORTE DE LA VILLETTE,4162037,7,,,,,Paris,19
Métro,CHATEAU D'EAU,4439398,4,,,,,Paris,10
Métro,LA MUETTE,4150248,9,,,,,Paris,16
Métro,LAMARCK-CAULAINCOURT,2843167,12,,,,,Paris,18
Métro,PARMENTIER,3283276,3,,,,,Paris,11
Métro,COMMERCE,2973194,8,,,,,Paris,15
Métro,CRETEIL-POINTE DU LAC,2924153,8,,,,,Créteil,
Métro,VAUGIRARD,3663937,12,,,,,Paris,15
Métro,SENTIER,3507732,3,,,,,Paris,3
Métro,OURCQ,4089055,5,,,,,Paris,19
Métro,SOLFERINO,2130716,12,,,,,Paris,7
Métro,EXELMANS,2152072,9,,,,,Paris,16
Métro,PONT MARIE,1769299,7,,,,,Paris,4
Métro,FALGUIERE,912582,12,,,,,Paris,15
RER,NOISY-CHAMPS,5401324,A,,,,,Champs-sur-Marne,
Métro,CHARLES DE GAULLE-ETOILE,8181646,1,2,6,,,Paris,8
